"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA-10702";"10702";"Winter-Linde";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513394.588";"5442095.697"
"BKA-61378";"61378";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513396.885";"5442129.590"
"BKA-10699";"10699";"Stiel-Eiche";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513367.996";"5442129.590"
"BKA-10698";"10698";"Rot-Buche";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513359.955";"5442139.460"
"BKA-5201";"5201";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Böckingen - West";"Neipperger Straße";"";"";"512095.791";"5442068.845"
"BKA-5307";"5307";"Stiel-Eiche";"Heilbronn";"Böckingen";"Böckingen - West";"Neipperger Straße";"01.01.62";"62";"512026.714";"5442010.767"
"BKA-5297";"5297";"Stiel-Eiche";"Heilbronn";"Böckingen";"Böckingen - West";"Neipperger Straße";"01.01.66";"58";"512026.215";"5442017.864"
"BKA-5391";"5391";"Säulen-Buche";"Heilbronn";"Böckingen";"Böckingen - West";"Neipperger Straße";"01.01.39";"85";"512105.648";"5441986.438"
"BKA-5288";"5288";"Gewöhnliche Kiefer";"Heilbronn";"Böckingen";"Böckingen - West";"Neipperger Straße";"01.01.51";"73";"512137.377";"5442036.961"
"BKA~BAUM-11426";"83028";"Ahorn 'Pacific Sunset'";"Heilbronn";"Böckingen";"Böckingen - Nordwest";"Goerdelerstraße";"";"";"512859.519";"5443868.102"
"BKA~BAUM-9723";"78211";"Rottriebiger Kolchischer-Ahorn";"Heilbronn";"Böckingen";"Böckingen - Nordwest";"Goerdelerstraße";"01.01.10";"14";"512852.248";"5443940.496"
