"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA-57207";"57207";"Holländische - Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.81";"43";"514902.089";"5442321.995"
"BKA-57219";"57219";"Gemeine Hainbuche";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.73";"51";"514869.600";"5442353.883"
"BKA-21429";"21429";"Gewöhnliche Roßkastanie";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.39";"85";"514872.200";"5442337.490"
"BKA~BAUM-3412";"71900";"Roßkastanie `Baumannii`";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.00";"24";"514874.300";"5442329.993"
"BKA-21430";"21430";"Gewöhnliche Roßkastanie";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.40";"84";"514879.198";"5442322.996"
"BKA-57198";"57198";"Ahornblättrige Platane";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.24";"100";"514887.195";"5442329.593"
"BKA-21428";"21428";"Ahornblättrige Platane";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.18";"106";"514882.696";"5442338.789"
"BKA-57215";"57215";"Ahornblättrige Platane";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.18";"106";"514878.896";"5442347.785"
"BKA-57217";"57217";"Ahornblättrige Platane";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.31";"93";"514873.797";"5442359.280"
"BKA-57213";"57213";"Krim-Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.90";"34";"514898.688";"5442350.483"
"BKA-57212";"57212";"Krim-Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.56";"68";"514902.287";"5442345.185"
"BKA-57211";"57211";"Krim-Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.17";"107";"514904.987";"5442334.390"
"BKA-57210";"57210";"Krim-Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.21";"3";"514908.186";"5442332.490"
"BKA-57209";"57209";"Krim-Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.25";"99";"514906.787";"5442328.692"
"BKA-57208";"57208";"Ginkgobaum";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.90";"34";"514910.255";"5442325.153"
"BKA-57214";"57214";"Krim-Linde";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.81";"43";"514901.417";"5442352.802"
"BKA-20629";"20629";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514699.861";"5442666.560"
"BKA-20630";"20630";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514698.461";"5442656.064"
"BKA-20631";"20631";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514696.962";"5442646.168"
"BKA-20670";"20670";"Berg-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514692.662";"5442615.679"
"BKA-20647";"20647";"Berg-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514691.363";"5442605.683"
"BKA-20656";"20656";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514690.263";"5442596.186"
"BKA-20666";"20666";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514688.963";"5442586.990"
"BKA-20781";"20781";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514687.464";"5442577.294"
"BKA-20782";"20782";"Spitz-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514686.064";"5442566.398"
"BKA-20783";"20783";"Berg-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514684.464";"5442557.701"
"BKA-21126";"21126";"Berg-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Karlsruher Straße";"";"";"514680.765";"5442538.608"
"BKA-51126";"51126";"Feld-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"01.01.48";"76";"514738.341";"5442237.726"
"BKA-17290";"17290";"Feld-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514740.740";"5442234.389"
"BKA-17289";"17289";"Gemeine Esche";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514741.141";"5442229.929"
"BKA-17167";"17167";"Gemeine Esche";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514678.660";"5442200.840"
"BKA-17300";"17300";"Feld-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514718.647";"5442223.231"
"BKA-17302";"17302";"Feld-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514716.248";"5442218.433"
"BKA-17301";"17301";"Gemeine Esche";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514713.749";"5442221.032"
"BKA-17304";"17304";"Bruch-Weide";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514712.722";"5442217.126"
"BKA-17305";"17305";"Haselnuß";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514704.752";"5442214.235"
"BKA-17335";"17335";"Zweigriffliger  Weißdorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514699.953";"5442211.536"
"BKA-17333";"17333";"Haselnuß";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514696.254";"5442210.936"
"BKA-17334";"17334";"Eschen-Ahorn";"Heilbronn";"HN Innenstadt";"Bahnhofsvorstadt";"Badstraße";"";"";"514689.657";"5442209.037"
"BKA-31302";"31302";"Baum-Hasel";"Heilbronn";"HN Innenstadt";"Südstadt";"Luisenstraße";"01.01.85";"39";"515782.100";"5442587.712"
"BKA-67315";"67315";"Pyramiden-Pappel";"Heilbronn";"HN Innenstadt";"Südstadt";"Werderstraße";"01.01.65";"59";"515844.285";"5442347.793"
