"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA~BAUM-895";"69632";"Apfelbaumart";"Heilbronn";"Kirchhausen";"Kirchhausen - Östliches Feld";"Rößwiesen";"01.01.90";"34";"509388.708";"5446797.672"
"BKA-686";"686";"Sommer-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.52";"72";"508179.187";"5447672.112"
"BKA-679";"679";"Sommer-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.54";"70";"508193.783";"5447707.904"
"BKA~BAUM-3328";"71812";"Gemeine Hainbuche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"";"";"508179.401";"5447736.327"
"BKA~BAUM-3329";"71813";"Gemeine Hainbuche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"";"";"508178.720";"5447734.621"
"BKA-701";"701";"Sommer-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.51";"73";"508191.284";"5447636.921"
"BKA-707";"707";"Kaiser-Linde `Pallida`";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.38";"86";"508193.486";"5447604.227"
"BKA-628";"628";"Holländische - Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.58";"66";"508165.497";"5447595.726"
"BKA-709";"709";"Kaiser-Linde `Pallida`";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.60";"64";"508182.193";"5447583.230"
"BKA-699";"699";"Tibet-Kirsche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.92";"132";"508209.477";"5447637.522"
"BKA-673";"673";"Holländische - Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.43";"81";"508225.273";"5447699.108"
"BKA-664";"664";"Winter-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.37";"87";"508217.566";"5447702.467"
"BKA-698";"698";"Schwedische Mehlbeere";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.38";"86";"508211.477";"5447644.721"
"BKA-663";"663";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.72";"52";"508211.548";"5447705.836"
"BKA-696";"696";"Blut-Buche (Sämling)";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.90";"134";"508196.682";"5447650.818"
"BKA-691";"691";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.66";"58";"508211.277";"5447671.014"
"BKA-662";"662";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.72";"52";"508206.179";"5447707.305"
"BKA-695";"695";"Kaiser-Linde `Pallida`";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.38";"86";"508214.875";"5447655.009"
"BKA-689";"689";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.65";"59";"508201.980";"5447671.214"
"BKA-705";"705";"Sommer-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.39";"85";"508194.584";"5447619.824"
"BKA-687";"687";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.65";"59";"508192.683";"5447674.812"
"BKA-694";"694";"Kaiser-Linde `Pallida`";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.46";"78";"508210.377";"5447662.016"
"BKA-685";"685";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.78";"46";"508185.815";"5447677.701"
"BKA-672";"672";"Sommer-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.45";"79";"508231.770";"5447694.909"
"BKA-706";"706";"Tibet-Kirsche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.23";"101";"508198.084";"5447613.126"
"BKA-684";"684";"Holländische - Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.66";"58";"508192.443";"5447686.089"
"BKA-674";"674";"Krim-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.64";"60";"508220.374";"5447691.710"
"BKA-700";"700";"Kaiser-Linde `Pallida`";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Wormser Straße";"01.01.39";"85";"508205.879";"5447631.123"
"BKA-683";"683";"Holländische - Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schlossstraße";"01.01.56";"68";"508187.384";"5447691.208"
"BKA-1366";"1366";"Feld-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Östliches Feld";"Mühlberg";"01.01.68";"56";"509421.062";"5447387.473"
"BKA-1364";"1364";"Feld-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Östliches Feld";"Mühlberg";"01.01.68";"56";"509404.965";"5447299.285"
"BKA-1365";"1365";"Feld-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Östliches Feld";"Mühlberg";"01.01.68";"56";"509400.165";"5447277.315"
"BKA-1361";"1361";"Feld-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Östliches Feld";"Mühlberg";"01.01.68";"56";"509415.113";"5447354.418"
"BKA-65926";"65926";"Stiel-Eiche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenweg";"01.01.70";"54";"508513.697";"5447305.906"
"BKA-65925";"65925";"Stiel-Eiche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenweg";"01.01.70";"54";"508518.446";"5447299.229"
"BKA-65931";"65931";"Stiel-Eiche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenweg";"01.01.70";"54";"508534.144";"5447265.374"
"BKA-65921";"65921";"Gewöhnliche Roßkastanie";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenwiesen";"01.01.60";"64";"508571.407";"5447230.291"
"BKA-65847";"65847";"Hängebirke";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenwiesen";"01.01.37";"87";"508570.305";"5447211.800"
"BKA-65923";"65923";"Reinbestand (Laubbaum)";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenweg";"";"";"508545.077";"5447267.001"
"BKA-65849";"65849";"Reinbestand (Laubbaum)";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenweg";"";"";"508516.988";"5447285.605"
"BKA-67688";"67688";"Kultur-Mandel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenwiesen";"01.01.06";"18";"508519.363";"5447217.288"
"BKA-67689";"67689";"Kultur-Mandel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenwiesen";"01.01.06";"18";"508526.161";"5447220.388"
"BKA-67687";"67687";"Kultur-Mandel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenwiesen";"01.01.06";"18";"508515.664";"5447221.887"
"BKA-67686";"67686";"Kultur-Mandel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Schulbrunnenwiesen";"01.01.06";"18";"508507.067";"5447222.386"
"BKA-65478";"65478";"Berg-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Südost";"Sinsheim/Mainhardt";"01.01.70";"54";"508896.902";"5447447.117"
"BKA~BAUM-2446";"71085";"Feld-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Östliches Feld";"Beim Sankt-Anna-Kreuz";"01.01.68";"56";"509460.069";"5446579.747"
"BKA-66992";"66992";"Spitz-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Nordost";"Annalindestraße";"01.01.99";"25";"508922.469";"5447790.975"
"BKA-1161";"1161";"Winter-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Nordost";"Annalindestraße";"01.01.85";"39";"508976.841";"5447895.828"
"BKA-1162";"1162";"Winter-Linde";"Heilbronn";"Kirchhausen";"Kirchhausen - Nordost";"Annalindestraße";"01.01.85";"39";"508984.336";"5447906.723"
"BKA-612";"612";"Spitz-Ahorn";"Heilbronn";"Kirchhausen";"Kirchhausen - Nordost";"Wendelinstraße";"01.01.70";"54";"508861.541";"5447874.528"
"BKA-50030";"50030";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.90";"34";"507570.333";"5447944.593"
"BKA-625";"625";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.60";"64";"507935.278";"5447653.819"
"BKA-305";"305";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.60";"64";"507912.968";"5447657.419"
"BKA-304";"304";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.60";"64";"507906.969";"5447645.653"
"BKA-299";"299";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.60";"64";"507766.643";"5447666.113"
"BKA-266";"266";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.75";"49";"507573.131";"5447940.495"
"BKA-50029";"50029";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.90";"34";"507570.333";"5447944.593"
"BKA-272";"272";"Pyramiden-Hainbuche";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.89";"35";"507591.561";"5447943.586"
"BKA-298";"298";"Ahornblättrige Platane";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.50";"74";"507746.951";"5447667.712"
"BKA-300";"300";"Ahornblättrige Platane";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.50";"74";"507786.835";"5447664.814"
"BKA-301";"301";"Baum-Hasel";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.60";"64";"507814.024";"5447661.816"
"BKA-303";"303";"Ahornblättrige Platane";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Wormser Straße";"01.01.50";"74";"507887.996";"5447647.024"
"BKA-268";"268";"Ahornblättrige Platane";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Bensheimer Straße";"01.01.50";"74";"507609.909";"5447880.522"
"BKA-267";"267";"Ahornblättrige Platane";"Heilbronn";"Kirchhausen";"Kirchhausen - Südwest";"Bensheimer Straße";"01.01.50";"74";"507582.720";"5447881.320"
