"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA~BAUM-13642";"85734";"Vogel-Kirsche";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Stutz";"";"";"512964.918";"5444751.102"
"BKA~BAUM-13654";"85746";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Stutz";"";"";"512894.891";"5444771.132"
"BKA~BAUM-13653";"85745";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Stutz";"";"";"512899.229";"5444769.003"
"BKA~BAUM-13565";"85657";"Apfelbaumart";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Heilbronner Straßenäcker";"";"";"512944.847";"5444387.311"
"BKA~BAUM-13566";"85658";"Kultur-Birne";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Heilbronner Straßenäcker";"";"";"512959.727";"5444387.781"
"BKA~BAUM-13655";"85747";"Apfelbaumart";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Stutz";"";"";"512909.638";"5444736.040"
"BKA~BAUM-13643";"85735";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Stutz";"";"";"512967.047";"5444746.843"
"BKA~BAUM-13064";"85157";"Feld-Ahorn";"Heilbronn";"Frankenbach";"Frankenbach - Hipfelhof";"Hofäcker";"";"";"512092.514";"5445091.563"
"BKA~BAUM-13562";"85654";"Reinbestand (Obstbaum)";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512032.926";"5444471.290"
"BKA~BAUM-13560";"85652";"Kultur-Birne";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512144.214";"5444473.875"
"BKA~BAUM-13559";"85651";"Kultur-Birne";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512142.570";"5444478.496"
"BKA~BAUM-13558";"85650";"Kirschenart";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512053.680";"5444475.050"
"BKA~BAUM-13557";"85649";"Kirschenart";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512010.293";"5444474.267"
"BKA~BAUM-13556";"85648";"Walnuß";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512003.871";"5444467.766"
"BKA~BAUM-13554";"85646";"Vogel-Kirsche";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Vorderer Schleifweg";"";"";"512216.179";"5444535.832"
"BKA~BAUM-13066";"85159";"Kirschenart";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Unteres Wert";"";"";"512355.662";"5444755.382"
"BKA~BAUM-13067";"85160";"Kirschenart";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Unteres Wert";"";"";"512353.388";"5444761.867"
"BKA~BAUM-13545";"85637";"Reinbestand (Laubbaum)";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Unteres Wert";"";"";"512276.074";"5444731.424"
"BKA~BAUM-13541";"85633";"Kirschenart";"Heilbronn";"Frankenbach";"Frankenbach - Hipfelhof";"Hofäcker";"";"";"512167.507";"5445280.276"
"BKA~BAUM-8768";"77151";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Mitte";"Hintertorstraße";"01.01.43";"81";"512454.400";"5444944.900"
"BKA~BAUM-14267";"86349";"Hängebirke";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512040.324";"5444616.269"
"BKA~BAUM-13569";"85661";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Dörnlestraße";"";"";"512813.352";"5445222.682"
"BKA~BAUM-13567";"85659";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Dörnlestraße";"";"";"512817.102";"5445215.345"
"BKA~BAUM-13568";"85660";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Dörnlestraße";"";"";"512821.832";"5445220.810"
"BKA-6979";"6979";"Reinbestand (Laubbaum)";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512240.050";"5444670.287"
"BKA-6985";"6985";"Spitz-Ahorn";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"01.01.60";"64";"512252.352";"5444559.939"
"BKA-6885";"6885";"Reinbestand (Laubbaum)";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Saarbrückener Straße";"01.01.75";"49";"512635.279";"5444952.771"
"BKA~BAUM-9548";"78034";"Zerr-Eiche";"Heilbronn";"Frankenbach";"Frankenbach - Nord";"Riedweg";"01.01.10";"14";"512785.487";"5445293.789"
"BKA~BAUM-8776";"77159";"Holländische - Linde";"Heilbronn";"Frankenbach";"Frankenbach - Mitte";"Hintertorstraße";"01.01.75";"49";"512470.900";"5444974.000"
"BKA~BAUM-8775";"77158";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Mitte";"Hintertorstraße";"01.01.96";"28";"512473.100";"5444969.200"
"BKA~BAUM-8773";"77156";"Winter-Linde";"Heilbronn";"Frankenbach";"Frankenbach - Mitte";"Hintertorstraße";"01.01.42";"82";"512472.000";"5444962.700"
"BKA~BAUM-8772";"77155";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Mitte";"Hintertorstraße";"01.01.67";"57";"512465.800";"5444959.000"
"BKA~BAUM-8771";"77154";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Mitte";"Hintertorstraße";"01.01.95";"29";"512464.500";"5444954.000"
"BKA~BAUM-13561";"85653";"Reinbestand (Obstbaum)";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Hinterer Schleifweg";"";"";"512112.418";"5444475.441"
"BKA~BAUM-14269";"86351";"Walnuß";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512022.754";"5444566.145"
"BKA~BAUM-14268";"86350";"Stiel-Eiche";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512043.384";"5444584.866"
"BKA~BAUM-14239";"86321";"Apfelbaumart";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512034.872";"5444546.479"
"BKA~BAUM-14238";"86320";"Stiel-Eiche";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512055.775";"5444545.206"
"BKA~BAUM-14237";"86319";"Stiel-Eiche";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Leintalstraße";"";"";"512039.416";"5444540.935"
"BKA~BAUM-13620";"85712";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Ost";"Dörnlestraße";"";"";"512830.439";"5445240.261"
"BKA~BAUM-13564";"85656";"Apfelbaumart";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Heilbronner Straßenäcker";"";"";"512821.968";"5444379.636"
"BKA~BAUM-13563";"85655";"Silber-Weide";"Heilbronn";"Frankenbach";"Stadtviertel 0078";"Heilbronner Straßenäcker";"";"";"512828.860";"5444381.437"
"BKA~BAUM-13555";"85647";"Reinbestand (Laubbaum)";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512235.043";"5444535.704"
"BKA~BAUM-13551";"85643";"Berg-Ahorn";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512256.744";"5444605.401"
"BKA~BAUM-13550";"85642";"Berg-Ahorn";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512244.083";"5444603.207"
"BKA~BAUM-13549";"85641";"Berg-Ahorn";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512240.127";"5444602.128"
"BKA~BAUM-13553";"85645";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512230.775";"5444599.142"
"BKA~BAUM-13547";"85639";"Kirschenart";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512218.797";"5444599.070"
"BKA~BAUM-13546";"85638";"Gemeine Esche";"Heilbronn";"Frankenbach";"Frankenbach - Süd";"Schleifweg";"";"";"512197.629";"5444601.412"
"BKA~BAUM-13065";"85158";"Apfelbaumart";"Heilbronn";"Frankenbach";"Frankenbach - Hipfelhof";"Bild";"";"";"512100.012";"5445075.248"
"BKA-6776";"6776";"Hängebirke";"Heilbronn";"Frankenbach";"Frankenbach - Nord";"Riedweg";"01.01.60";"64";"512804.746";"5445251.252"
"BKA-6777";"6777";"Hängebirke";"Heilbronn";"Frankenbach";"Frankenbach - Nord";"Riedweg";"01.01.60";"64";"512806.245";"5445246.653"
