"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA-52610";"52610";"Gemeine Hainbuche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Amsterdamer Straße";"01.01.35";"89";"513145.785";"5440687.384"
"BKA-9583";"9583";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.67";"57";"513139.887";"5440682.587"
"BKA-9584";"9584";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.67";"57";"513145.784";"5440674.391"
"BKA-9586";"9586";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.67";"57";"513148.083";"5440663.397"
"BKA-9609";"9609";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.69";"55";"513150.382";"5440651.603"
"BKA-9603";"9603";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.69";"55";"513152.981";"5440640.008"
"BKA-9606";"9606";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.67";"57";"513150.682";"5440629.314"
"BKA-9607";"9607";"Ahornblättrige Platane";"Heilbronn";"Horkheim";"Horkheim - Nord";"Amsterdamer Straße";"01.01.67";"57";"513153.980";"5440616.520"
"BKA-10316";"10316";"Gemeine Hainbuche";"Heilbronn";"Horkheim";"Horkheim - Süd";"Weidenweg";"01.01.84";"40";"513029.034";"5440382.000"
"BKA-10319";"10319";"Gemeine Hainbuche";"Heilbronn";"Horkheim";"Horkheim - Süd";"Weidenweg";"01.01.84";"40";"513029.433";"5440373.304"
"BKA-10317";"10317";"Gemeine Hainbuche";"Heilbronn";"Horkheim";"Horkheim - Süd";"Eisvogelweg";"01.01.84";"40";"513039.128";"5440395.894"
"BKA-10318";"10318";"Gemeine Hainbuche";"Heilbronn";"Horkheim";"Horkheim - Süd";"Eisvogelweg";"01.01.84";"40";"513054.619";"5440399.491"
"BKA-10327";"10327";"Gemeine Esche";"Heilbronn";"Horkheim";"Horkheim - Süd";"Pirolweg";"01.01.85";"39";"512997.432";"5440441.266"
"BKA~BAUM-7358";"75595";"Schmalblättrige Esche";"Heilbronn";"Horkheim";"Horkheim - Nord";"Hohenloher Straße";"01.01.06";"18";"513048.617";"5440556.066"
"BKA~BAUM-8405";"76748";"Keithsform - Ahorn";"Heilbronn";"Horkheim";"Horkheim - Süd";"Heilbronner Weg";"01.01.08";"16";"512914.431";"5440446.294"
"BKA~BAUM-5204";"73463";"Schmalblättrige Esche";"Heilbronn";"Horkheim";"Horkheim - Nord";"Hohenloher Straße";"01.01.04";"20";"513041.395";"5440551.937"
"BKA-9546";"9546";"Spitz-Ahorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar";"01.01.53";"71";"512928.880";"5440700.480"
"BKA-4926";"4926";"Silber-Weide";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"01.01.35";"89";"512917.286";"5440697.980"
"BKA-4927";"4927";"Walnuß";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.76";"48";"512915.188";"5440695.081"
"BKA-4934";"4934";"Silber-Weide";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512901.994";"5440695.780"
"BKA-4935";"4935";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512897.896";"5440694.980"
"BKA-4944";"4944";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512876.505";"5440690.780"
"BKA-4941";"4941";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512884.901";"5440691.680"
"BKA-4943";"4943";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512878.904";"5440690.581"
"BKA-4942";"4942";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512882.402";"5440691.081"
"BKA-9534";"9534";"Gemeine Esche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512978.856";"5440712.276"
"BKA-9530";"9530";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512979.655";"5440715.275"
"BKA-9544";"9544";"Spitz-Ahorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.57";"67";"512935.377";"5440700.880"
"BKA-9545";"9545";"Silber-Weide";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"512933.378";"5440704.778"
"BKA-9547";"9547";"Spitz-Ahorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.78";"46";"512938.676";"5440694.783"
"BKA-9548";"9548";"Kanadische Pappel";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.44";"80";"512932.979";"5440693.183"
"BKA-9550";"9550";"Spitz-Ahorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.84";"40";"512929.281";"5440691.984"
"BKA-9549";"9549";"Kanadische Pappel";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.38";"86";"512925.083";"5440691.583"
"BKA-4930";"4930";"Walnuß";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.76";"48";"512907.791";"5440687.484"
"BKA-4937";"4937";"Kanadische Pappel";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.11";"113";"512892.698";"5440685.684"
"BKA-4933";"4933";"Spitz-Ahorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.82";"42";"512901.494";"5440686.984"
"BKA-4940";"4940";"Eingriffliger Weißdorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.73";"51";"512885.401";"5440682.985"
"BKA-4948";"4948";"Kirschenart";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.80";"44";"512880.403";"5440682.785"
"BKA-4949";"4949";"Kirschenart";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.80";"44";"512874.806";"5440679.886"
"BKA-9495";"9495";"xxxxx";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"513102.805";"5440743.057"
"BKA-9574";"9574";"Gemeine Esche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"513125.295";"5440750.653"
"BKA-9516";"9516";"Gemeine Esche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"513017.738";"5440722.171"
"BKA-9518";"9518";"Gemeine Esche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Neckar";"";"";"513004.544";"5440718.273"
"BKA-9496";"9496";"Kanadische Pappel";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.48";"76";"513095.708";"5440734.562"
"BKA-9500";"9500";"Spitz-Ahorn";"Heilbronn";"Horkheim";"Horkheim - Feld";"Neckar Schifffahrtskanal";"01.01.84";"40";"513082.712";"5440730.564"
