Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA~BAUM-12537,84643,Kirschenart,Heilbronn,Klingenberg,Klingenberg - Nord,Böckinger,,,512332849,5441143209
BKA~BAUM-12538,84644,gemischter Bestand,Heilbronn,Klingenberg,Klingenberg - Nord,Böckinger,,,512339724,5441145932
BKA~BAUM-12552,84658,Kirschenart,Heilbronn,Klingenberg,Klingenberg - Nord,Böckinger,,,512340991,5441158430
BKA~BAUM-12551,84657,Spitz-Ahorn,Heilbronn,Klingenberg,Klingenberg - Nord,Böckinger,,,512358283,5441167402
BKA~BAUM-12550,84656,Kirschenart,Heilbronn,Klingenberg,Klingenberg - Nord,Böckinger,,,512368750,5441153139
BKA~BAUM-12549,84655,Robinia - Scheinakazie,Heilbronn,Klingenberg,Klingenberg - Nord,Böckinger,,,512370629,5441149611
BKA-4262,4262,Spitz-Ahorn,Heilbronn,Klingenberg,Klingenberg - Nord,Theodor-Heuss-Straße,01.01.77,47,512352201,5441077733
BKA~BAUM-3825,72353,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.02,22,511568489,5440787318
BKA~BAUM-3826,72354,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.02,22,511562227,5440790368
BKA~BAUM-3827,72355,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.02,22,511555282,5440793573
BKA~BAUM-3829,72357,Kupfer-Felsenbirne,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.02,22,511472824,5440825708
BKA~BAUM-6153,74483,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.04,20,511401955,5440816916
BKA~BAUM-6152,74482,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.04,20,511385862,5440815618
BKA~BAUM-6151,74481,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.04,20,511372868,5440815319
BKA~BAUM-6150,74480,Zirkirsche Accolade,Heilbronn,Klingenberg,Alt - Klingenberg,Felsenstraße,01.01.04,20,511363072,5440815018
BKA~BAUM-2927,71473,Hupeh Stink-Esche,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511240448,5440714375
BKA~BAUM-2928,71474,Duft-Schneeball,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511238483,5440710824
BKA~BAUM-2929,71475,Blut-Pflaume,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511246722,5440710371
BKA~BAUM-2930,71476,Flamingoeschen - Ahorn,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511252238,5440710749
BKA~BAUM-2933,71479,Flamingoeschen - Ahorn,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511257829,5440712260
BKA~BAUM-2931,71477,Blut-Pflaume,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511255256,5440707123
BKA~BAUM-2932,71478,Hupeh Stink-Esche,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511260318,5440707803
BKA~BAUM-2934,71480,Blut-Pflaume,Heilbronn,Klingenberg,Klingenberg - Süd,Schlossweg,01.01.01,23,511260712,5440716545
BKA-59923,59923,Vogel-Kirsche `Plena`,Heilbronn,Klingenberg,Klingenberg - Süd,Theodor-Heuss-Straße,01.01.95,29,511257714,5440722942
BKA-59924,59924,Vogel-Kirsche `Plena`,Heilbronn,Klingenberg,Klingenberg - Süd,Theodor-Heuss-Straße,01.01.95,29,511251716,5440717544
BKA-59925,59925,Vogel-Kirsche `Plena`,Heilbronn,Klingenberg,Klingenberg - Süd,Theodor-Heuss-Straße,01.01.95,29,511244819,5440720542
BKA-4264,4264,Spitz-Ahorn,Heilbronn,Klingenberg,Klingenberg - Nord,Theodor-Heuss-Straße,01.01.82,42,512256772,5441030784
BKA-4293,4293,Silber-Weide,Heilbronn,Klingenberg,Klingenberg - Nord,Neckar,,,512051590,5440809507
BKA-4291,4291,Silber-Weide,Heilbronn,Klingenberg,Klingenberg - Nord,Neckar,,,512059905,5440810729
BKA-4290,4290,Silber-Weide,Heilbronn,Klingenberg,Klingenberg - Nord,Neckar,,,512068202,5440814728
BKA-4289,4289,Silber-Weide,Heilbronn,Klingenberg,Klingenberg - Nord,Neckar,,,512079804,5440816731
