Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA-1703,1703,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.84,40,510531209,5448849539
BKA-1702,1702,Winter-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.84,40,510521511,5448858539
BKA-1674,1674,Winter-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.62,62,510572901,5448887131
BKA-3626,3626,Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510987251,5448891213
BKA-3625,3625,Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510986651,5448896111
BKA-3624,3624,Geschlitzter Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510981352,5448896311
BKA-3623,3623,Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510983351,5448902009
BKA-3621,3621,Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510979352,5448908707
BKA-3620,3620,Geschlitzter Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510973153,5448909107
BKA-3617,3617,Geschlitzter Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510971253,5448921503
BKA-3616,3616,Geschlitzter Silber-Ahorn,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510968253,5448927601
BKA-3619,3619,Ahornblättrige Platane,Heilbronn,Biberach,Stadtviertel 0095,Unterlandstraße,01.01.60,64,510966855,5448912006
BKA-3636,3636,Ahornblättrige Platane,Heilbronn,Biberach,Stadtviertel 0095,Am Förstle,01.01.86,38,510957155,5448929001
BKA-1708,1708,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.58,66,510731441,5448865016
BKA-1710,1710,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.54,70,510722544,5448857122
BKA-1658,1658,Sommer-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.71,53,510535389,5448903657
BKA-1656,1656,Gemeine Hainbuche,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.86,38,510546396,5448906385
BKA-1662,1662,Winter-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.60,64,510525010,5448880737
BKA-1657,1657,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.59,65,510543107,5448901527
BKA-1704,1704,Silber-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.86,38,510565902,5448886831
BKA-1679,1679,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.68,56,510567601,5448868034
BKA-1678,1678,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.66,58,510572400,5448873033
BKA-1693,1693,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.64,60,510550404,5448862335
BKA-1692,1692,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.59,65,510552003,5448853036
BKA-1691,1691,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.62,62,510547004,5448847737
BKA-1660,1660,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.57,67,510524411,5448891634
BKA-1659,1659,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.65,59,510537408,5448889433
BKA-1705,1705,Weißer Maulbeerbaum,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.88,36,510513813,5448875939
BKA-1664,1664,Straßen-Akazie,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.31,93,510512044,5448870420
BKA-64989,64989,Großblumige Stern-Magnolie ,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.94,30,510558693,5448877033
BKA-1661,1661,Gemeiner Judasbaum,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.78,46,510530980,5448898730
BKA-1672,1672,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.41,83,510551504,5448890430
BKA-1671,1671,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.32,92,510548505,5448886631
BKA-1670,1670,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.35,89,510545206,5448882433
BKA-1669,1669,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.29,95,510542006,5448878534
BKA-1683,1683,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.27,97,510548405,5448876233
BKA-1682,1682,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.34,90,510551804,5448880132
BKA-1681,1681,Sommer-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.00,124,510554304,5448884232
BKA-1673,1673,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.27,97,510557604,5448888531
BKA-1677,1677,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.61,63,510573600,5448878832
BKA-1684,1684,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.39,85,510542686,5448868565
BKA-1680,1680,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.29,95,510536967,5448870626
BKA-1667,1667,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.32,92,510533538,5448867347
BKA-1685,1685,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.36,88,510539496,5448864596
BKA-1686,1686,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.20,104,510535167,5448860517
BKA-1666,1666,Krim-Linde,Heilbronn,Biberach,Biberach - Süd,Unterlandstraße,01.01.24,100,510529939,5448864078
BKA-68848,68848,Tokyo-Kirsche,Heilbronn,Biberach,Biberach - Mitte,Wieselweg,01.01.01,23,510432765,5448999597
BKA-65620,65620,Säulen - Kirsche,Heilbronn,Biberach,Biberach - Mitte,Keltergasse,01.01.90,34,510418370,5448991700
BKA~BAUM-4218,72607,Säulen - Ginkgo Blagon,Heilbronn,Biberach,Biberach - Mitte,Unterlandstraße,01.01.03,21,510352997,5448995589
BKA-58235,58235,Säulen-Eiche,Heilbronn,Biberach,Biberach - West,Weirachstraße,01.01.90,34,510071689,5448708767
BKA-1778,1778,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,510028333,5448628240
BKA-1777,1777,Gewöhnliche Kiefer,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.70,54,510024334,5448632639
BKA-1784,1784,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.40,84,510009235,5448602056
BKA-1786,1786,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.40,84,510007137,5448593758
BKA-1789,1789,"Eberesche, Vogelbeere",Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.84,40,510003041,5448583162
BKA-1776,1776,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.70,54,510029132,5448634038
BKA-1790,1790,"Eberesche, Vogelbeere",Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.96,28,510000243,5448577063
BKA-1586,1586,Gewöhnliche Kiefer,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.50,74,510148882,5448771161
BKA-1794,1794,Geschlitzter Silber-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.94,30,509994647,5448567666
BKA-1796,1796,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,509993248,5448562667
BKA-1775,1775,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.70,54,510032332,5448634037
BKA-1795,1795,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,509990150,5448563367
BKA-68849,68849,Tokyo-Kirsche,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.01,23,510136837,5448759320
BKA-68850,68850,Tokyo-Kirsche,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.01,23,510130604,5448755779
BKA-1774,1774,Geschlitzter Silber-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.60,64,510032332,5448643433
BKA-68851,68851,Tokyo-Kirsche,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.01,23,510129046,5448750113
BKA-1753,1753,Gewöhnliche Kiefer,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.50,74,510121296,5448739777
BKA-1804,1804,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,509974663,5448533375
BKA-1845,1845,"Eberesche, Vogelbeere",Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.70,54,509962272,5448505283
BKA-1754,1754,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,510111601,5448730482
BKA-1843,1843,"Eberesche, Vogelbeere",Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.70,54,509957795,5448499385
BKA-1769,1769,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.00,24,510044827,5448654827
BKA-66980,66980,Spitz-Ahorn `Emerald Queen`,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.99,25,510372389,5448879637
BKA-1812,1812,Feld-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.88,36,510104104,5448726684
BKA-1757,1757,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.60,64,510082814,5448701700
BKA-66979,66979,Spitz-Ahorn `Emerald Queen`,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.99,25,510380584,5448875038
BKA-1768,1768,Berg-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,510049226,5448661323
BKA-1759,1759,Gewöhnliche Kiefer,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,510075018,5448692605
BKA-1637,1637,Sommer-Linde,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.70,54,510395575,5448865261
BKA-1760,1760,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.76,48,510071419,5448686908
BKA-1580,1580,Reinbestand (Nadelbaum),Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,,,510169255,5448794344
BKA-65014,65014,Reinbestand (Laubbaum),Heilbronn,Biberach,Biberach - Süd,Weirachstraße,,,510100316,5448722427
BKA-1762,1762,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.60,64,510067820,5448685610
BKA-1772,1772,Reinbestand (Laubbaum),Heilbronn,Biberach,Biberach - Süd,Weirachstraße,,,510088471,5448709905
BKA-1761,1761,Hängebirke,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.50,74,510070119,5448684310
BKA-1773,1773,Reinbestand (Nadelbaum),Heilbronn,Biberach,Biberach - Süd,Weirachstraße,,,510038630,5448647930
BKA-1584,1584,Hängebirke,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.60,64,510157779,5448778859
BKA-1583,1583,Hängebirke,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.60,64,510162977,5448779560
BKA-1582,1582,Hängebirke,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.81,43,510165476,5448787157
BKA-1581,1581,Hängebirke,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.70,54,510165976,5448787557
BKA-1648,1648,Hängebirke,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.65,59,510174574,5448791357
BKA-1644,1644,Hängebirke,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.60,64,510177373,5448794856
BKA-1841,1841,Berg-Ahorn,Heilbronn,Biberach,Stadtviertel 0097,Weirachstraße,01.01.50,74,509942681,5448504683
BKA-66982,66982,Feld-Ahorn,Heilbronn,Biberach,Stadtviertel 0097,Weirachstraße,01.01.99,25,509946578,5448518079
BKA-1739,1739,Berg-Ahorn,Heilbronn,Biberach,Stadtviertel 0097,Weirachstraße,01.01.50,74,509951474,5448527476
BKA-1738,1738,Berg-Ahorn,Heilbronn,Biberach,Stadtviertel 0097,Weirachstraße,01.01.50,74,509954871,5448534474
BKA-65013,65013,Feld-Ahorn,Heilbronn,Biberach,Biberach - Süd,Weirachstraße,01.01.94,24,510113289,5448736219
BKA-1587,1587,Gewöhnliche Kiefer,Heilbronn,Biberach,Biberach - Mitte,Weirachstraße,01.01.50,74,510146783,5448764764
