Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,,Y-Koordinate,
BKA-17334,17334,Eschen-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514689.657,514689657,5442209.037,5442209037
BKA-31302,31302,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Luisenstraße,01.01.85,39,515782.1,515782100,5442587.712,5442587712
BKA-67315,67315,Pyramiden-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.65,59,515844.285,515844285,5442347.793,5442347793
BKA-67314,67314,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515844.975,515844975,5442352.171,5442352171
BKA-67316,67316,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515846.164,515846164,5442359.149,5442359149
BKA-67317,67317,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.63,61,515847.144,515847144,5442365.986,5442365986
BKA-67319,67319,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515849.593,515849593,5442381.13,5442381130
BKA-67318,67318,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515848.554,515848554,5442374.802,5442374802
BKA-31298,31298,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Bergstraße,01.01.85,39,515801.695,515801695,5442669.077,5442669077
BKA-31301,31301,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Bergstraße,01.01.85,39,515772.004,515772004,5442585.313,5442585313
BKA-31300,31300,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Bergstraße,01.01.85,39,515766.206,515766206,5442587.712,5442587712
BKA-17361,17361,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514666.065,514666065,5442193.144,5442193144
BKA-17362,17362,Rot-Buche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514662.466,514662466,5442191.845,5442191845
BKA-17163,17163,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514653.47,514653470,5442186.048,5442186048
BKA-17164,17164,Rot-Buche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514650.171,514650171,5442184.15,5442184150
BKA-17165,17165,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514647.173,514647173,5442182.851,5442182851
BKA-17299,17299,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514719.747,514719747,5442221.432,5442221432
BKA-17298,17298,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514721.846,514721846,5442224.931,5442224931
BKA-17297,17297,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514724.602,514724602,5442223.619,5442223619
BKA-17292,17292,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514725.645,514725645,5442226.73,5442226730
BKA-17296,17296,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514731.144,514731144,5442227.53,5442227530
BKA-17295,17295,Gemeine Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514728.244,514728244,5442231.029,5442231029
BKA-17287,17287,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514732.543,514732543,5442230.729,5442230729
BKA-17288,17288,Vogel-Kirsche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514735.742,514735742,5442229.329,5442229329
BKA-17308,17308,Gewöhnliche Eibe,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514726.845,514726845,5442239.225,5442239225
BKA-17312,17312,Gemeine Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514717.448,514717448,5442234.327,5442234327
BKA-17317,17317,Gemeine Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514704.352,514704352,5442230.128,5442230128
BKA-17152,17152,Steinweichsel,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514641.974,514641974,5442188.348,5442188348
BKA-17151,17151,Gemeine Fichte,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514640.575,514640575,5442193.046,5442193046
BKA-17139,17139,Bruch-Weide,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514636.276,514636276,5442198.944,5442198944
BKA-17324,17324,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514675.061,514675061,5442227.328,5442227328
BKA-17323,17323,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514678.66,514678660,5442227.028,5442227028
