Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA-52610,52610,Gemeine Hainbuche,Heilbronn,Sontheim,Alt - Sontheim,Amsterdamer Straße,01.01.35,89,513145785,5440687384
BKA-9583,9583,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.67,57,513139887,5440682587
BKA-9584,9584,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.67,57,513145784,5440674391
BKA-9586,9586,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.67,57,513148083,5440663397
BKA-9609,9609,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.69,55,513150382,5440651603
BKA-9603,9603,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.69,55,513152981,5440640008
BKA-9606,9606,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.67,57,513150682,5440629314
BKA-9607,9607,Ahornblättrige Platane,Heilbronn,Horkheim,Horkheim - Nord,Amsterdamer Straße,01.01.67,57,513153980,5440616520
BKA-10316,10316,Gemeine Hainbuche,Heilbronn,Horkheim,Horkheim - Süd,Weidenweg,01.01.84,40,513029034,5440382000
BKA-10319,10319,Gemeine Hainbuche,Heilbronn,Horkheim,Horkheim - Süd,Weidenweg,01.01.84,40,513029433,5440373304
BKA-10317,10317,Gemeine Hainbuche,Heilbronn,Horkheim,Horkheim - Süd,Eisvogelweg,01.01.84,40,513039128,5440395894
BKA-10318,10318,Gemeine Hainbuche,Heilbronn,Horkheim,Horkheim - Süd,Eisvogelweg,01.01.84,40,513054619,5440399491
BKA-10327,10327,Gemeine Esche,Heilbronn,Horkheim,Horkheim - Süd,Pirolweg,01.01.85,39,512997432,5440441266
BKA~BAUM-7358,75595,Schmalblättrige Esche,Heilbronn,Horkheim,Horkheim - Nord,Hohenloher Straße,01.01.06,18,513048617,5440556066
BKA~BAUM-8405,76748,Keithsform - Ahorn,Heilbronn,Horkheim,Horkheim - Süd,Heilbronner Weg,01.01.08,16,512914431,5440446294
BKA~BAUM-5204,73463,Schmalblättrige Esche,Heilbronn,Horkheim,Horkheim - Nord,Hohenloher Straße,01.01.04,20,513041395,5440551937
BKA-9546,9546,Spitz-Ahorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar,01.01.53,71,512928880,5440700480
BKA-4926,4926,Silber-Weide,Heilbronn,Sontheim,Alt - Sontheim,Neckar,01.01.35,89,512917286,5440697980
BKA-4927,4927,Walnuß,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.76,48,512915188,5440695081
BKA-4934,4934,Silber-Weide,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512901994,5440695780
BKA-4935,4935,Spitz-Ahorn,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512897896,5440694980
BKA-4944,4944,Spitz-Ahorn,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512876505,5440690780
BKA-4941,4941,Spitz-Ahorn,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512884901,5440691680
BKA-4943,4943,Spitz-Ahorn,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512878904,5440690581
BKA-4942,4942,Spitz-Ahorn,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512882402,5440691081
BKA-9534,9534,Gemeine Esche,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512978856,5440712276
BKA-9530,9530,Spitz-Ahorn,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512979655,5440715275
BKA-9544,9544,Spitz-Ahorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.57,67,512935377,5440700880
BKA-9545,9545,Silber-Weide,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,512933378,5440704778
BKA-9547,9547,Spitz-Ahorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.78,46,512938676,5440694783
BKA-9548,9548,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.44,80,512932979,5440693183
BKA-9550,9550,Spitz-Ahorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.84,40,512929281,5440691984
BKA-9549,9549,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.38,86,512925083,5440691583
BKA-4930,4930,Walnuß,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.76,48,512907791,5440687484
BKA-4937,4937,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.11,113,512892698,5440685684
BKA-4933,4933,Spitz-Ahorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.82,42,512901494,5440686984
BKA-4940,4940,Eingriffliger Weißdorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.73,51,512885401,5440682985
BKA-4948,4948,Kirschenart,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.80,44,512880403,5440682785
BKA-4949,4949,Kirschenart,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.80,44,512874806,5440679886
BKA-9495,9495,xxxxx,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,513102805,5440743057
BKA-9574,9574,Gemeine Esche,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,513125295,5440750653
BKA-9516,9516,Gemeine Esche,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,513017738,5440722171
BKA-9518,9518,Gemeine Esche,Heilbronn,Sontheim,Alt - Sontheim,Neckar,,,513004544,5440718273
BKA-9496,9496,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.48,76,513095708,5440734562
BKA-9500,9500,Spitz-Ahorn,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.84,40,513082712,5440730564
BKA-9506,9506,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.32,92,513061420,5440725868
BKA-9509,9509,Gemeine Esche,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.83,41,513058221,5440725268
BKA-9507,9507,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.38,86,513055922,5440724968
BKA-9513,9513,Kanadische Pappel,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.06,118,513036530,5440721171
BKA-9514,9514,Kirschenart,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.80,44,513029833,5440718873
BKA-9517,9517,Gemeine Esche,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.57,67,513019737,5440716474
BKA-9522,9522,Gemeine Esche,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.81,43,512998847,5440711577
BKA-9524,9524,Gemeine Esche,Heilbronn,Horkheim,Horkheim - Feld,Neckar Schifffahrtskanal,01.01.74,50,512995449,5440710678
