Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA-24883,24883,Götterbaum,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.76,48,514893386,5445623686
BKA~BAUM-4099,72543,Chinesisches Rotholz,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.03,21,514882389,5445613077
BKA-24886,24886,Gemeine Esche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.73,51,514883241,5445605687
BKA-24889,24889,"Kultur-Pflaume (Zwet., Mirab., Krieche)",Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.76,48,514888200,5445581387
BKA-25035,25035,Gemeine Hainbuche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.88,36,514901334,5445597107
BKA-24995,24995,Italienische Erle,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.96,28,514908912,5445572717
BKA-25043,25043,Einblatt-Esche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.88,36,514909732,5445579770
BKA-25045,25045,"Kultur-Pflaume (Zwet., Mirab., Krieche)",Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.88,36,514897810,5445575157
BKA-57415,57415,Gemeine Esche `Westhof´s Glorie`,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.90,34,514911576,5445600294
BKA-25042,25042,Einblatt-Esche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.88,36,514912837,5445614628
BKA-57417,57417,Italienische Erle,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.90,34,514914244,5445627017
BKA-24983,24983,Italienische Erle,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.98,26,514915366,5445640517
BKA-24985,24985,"Kultur-Pflaume (Zwet., Mirab., Krieche)",Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.70,54,514908880,5445632881
BKA-24895,24895,Schwarz- oder Roterle,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.83,41,514889306,5445565562
BKA-24979,24979,Feld-Ahorn,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.60,64,514878492,5445557215
BKA-50093,50093,Gemeine Hainbuche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.90,34,514905125,5445554561
BKA-24980,24980,Walnuß,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.77,47,514886688,5445554015
BKA-24981,24981,Walnuß,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.84,40,514893952,5445554574
BKA-25051,25051,Gemeine Esche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.88,36,514905876,5445547716
BKA-50092,50092,Einblatt-Esche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.90,34,514906376,5445540919
BKA-50090,50090,Einblatt-Esche,Heilbronn,Neckargartach,Neckargartach - Süd,Böckinger Straße,01.01.90,34,514901079,5445536821
