Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA-20841,20841,Hängebirke,Heilbronn,Böckingen,Alt-Böckingen - Ost,Blumhardtstraße,01.01.72,52,513922579,5442485440
BKA-20843,20843,Götterbaum,Heilbronn,Böckingen,Alt-Böckingen - Ost,Blumhardtstraße,01.01.57,67,513945671,5442481940
BKA-66794,66794,Schmalblättrige Esche,Heilbronn,Böckingen,Alt-Böckingen - Ost,Klingenberger Straße,01.01.99,25,513994950,5442489337
BKA-63568,63568,Schmalblättrige Esche,Heilbronn,Böckingen,Alt-Böckingen - Ost,Klingenberger Straße,01.01.92,32,513991949,5442468445
BKA-20977,20977,Gemeine Hainbuche,Heilbronn,Böckingen,Alt-Böckingen - Ost,Klingenberger Straße,01.01.83,41,513996146,5442456750
BKA-61398,61398,Weißrindige Himalaja-Birke,Heilbronn,Böckingen,Alt-Böckingen - West,Heckenstraße,01.01.90,34,513299026,5442490449
BKA-61396,61396,Weißrindige Himalaja-Birke,Heilbronn,Böckingen,Alt-Böckingen - West,Heckenstraße,01.01.95,29,513334109,5442497837
BKA-61395,61395,Weißrindige Himalaja-Birke,Heilbronn,Böckingen,Alt-Böckingen - West,Heckenstraße,01.01.95,29,513341805,5442499234
BKA-61299,61299,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Längelterrain,01.01.85,39,513260167,5442452240
BKA-61506,61506,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513175780,5442394303
BKA-61377,61377,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513356601,5442218867
BKA-61376,61376,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513360607,5442338816
BKA-61375,61375,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513272146,5442393596
BKA-61341,61341,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513113301,5442410101
BKA-61354,61354,gemischter Bestand,Heilbronn,Böckingen,Alt-Böckingen - West,Tiefer Weg,01.01.00,124,513202559,5442210470
BKA-61295,61295,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513202563,5442260352
BKA-61296,61296,Reinbestand (Laubbaum),Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513170872,5442229765
BKA-61349,61349,gemischter Bestand,Heilbronn,Böckingen,Alt-Böckingen - West,Tiefer Weg,01.01.95,29,513233745,5442169983
BKA~BAUM-8035,76357,Birne - Große Rommelter,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513231360,5442415890
BKA~BAUM-8034,76356,Birne - Palmischbirne,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513221064,5442418990
BKA~BAUM-8033,76355,Birne - Klupperte Birne,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513211068,5442418191
BKA~BAUM-8032,76354,Birne - Kirchensaller Mostbirne,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513205270,5442410695
BKA~BAUM-8031,76353,Birne - Grüne Jagdbirne,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513207269,5442400998
BKA~BAUM-8030,76352,Birne - Geddelsbacher Mostbirne,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513212767,5442391701
BKA~BAUM-8029,76351,Birne - Stuttgarter Geißhirtle,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513222264,5442384404
BKA-61335,61335,Silber-Weide,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513166162,5442260361
BKA-11938,11938,Vogel-Kirsche,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513316027,5442327924
BKA~BAUM-2661,71294,Winter-Linde,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.02,22,513289938,5442325326
BKA-11940,11940,Vogel-Kirsche,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.86,38,513274543,5442322727
BKA-11941,11941,Vogel-Kirsche,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.92,32,513266046,5442318729
BKA-11926,11926,Walnuß,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.85,39,513270847,5442342619
BKA~BAUM-8028,76350,Birne - Jeremias Rund Birne,Heilbronn,Böckingen,Alt-Böckingen - West,Heuchelbergstraße,01.01.07,17,513232660,5442381504
